,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
147099,R169,R168,01-05-01,96 ST,123,IRT,06/27/2020,17:00:00,REGULAR,0,1642
147100,R169,R168,01-05-01,96 ST,123,IRT,06/27/2020,21:00:00,REGULAR,0,1642
147101,R169,R168,01-05-01,96 ST,123,IRT,06/28/2020,01:00:00,REGULAR,0,1642
147138,R169,R168,01-07-00,96 ST,123,IRT,06/27/2020,05:00:00,REGULAR,67110863,16777216
147139,R169,R168,01-07-00,96 ST,123,IRT,06/27/2020,09:00:00,REGULAR,67110863,16777216
147140,R169,R168,01-07-00,96 ST,123,IRT,06/27/2020,13:00:00,REGULAR,67110863,16777216
147141,R169,R168,01-07-00,96 ST,123,IRT,06/27/2020,17:00:00,REGULAR,67110863,16777216
147142,R169,R168,01-07-00,96 ST,123,IRT,06/27/2020,21:00:00,REGULAR,67110863,16777216
147143,R169,R168,01-07-00,96 ST,123,IRT,06/28/2020,01:00:00,REGULAR,67110863,16777216
147180,R169,R168,01-07-01,96 ST,123,IRT,06/27/2020,05:00:00,REGULAR,131072,66550
147181,R169,R168,01-07-01,96 ST,123,IRT,06/27/2020,09:00:00,REGULAR,131072,66550
147182,R169,R168,01-07-01,96 ST,123,IRT,06/27/2020,13:00:00,REGULAR,131072,66550
147183,R169,R168,01-07-01,96 ST,123,IRT,06/27/2020,17:00:00,REGULAR,131072,66550
147184,R169,R168,01-07-01,96 ST,123,IRT,06/27/2020,21:00:00,REGULAR,131072,66550
147185,R169,R168,01-07-01,96 ST,123,IRT,06/28/2020,01:00:00,REGULAR,131072,66550
168100,R251,R144,00-00-00,96 ST,6,IRT,06/27/2020,05:00:00,REGULAR,23873280,15672351
168101,R251,R144,00-00-00,96 ST,6,IRT,06/27/2020,09:00:00,REGULAR,23873336,15672466
168102,R251,R144,00-00-00,96 ST,6,IRT,06/27/2020,13:00:00,REGULAR,23873411,15672565
168103,R251,R144,00-00-00,96 ST,6,IRT,06/27/2020,17:00:00,REGULAR,23873539,15672676
168104,R251,R144,00-00-00,96 ST,6,IRT,06/27/2020,21:00:00,REGULAR,23873641,15672792
168105,R251,R144,00-00-00,96 ST,6,IRT,06/28/2020,01:00:00,REGULAR,23873694,15672850
168142,R251,R144,00-00-01,96 ST,6,IRT,06/27/2020,05:00:00,REGULAR,24544096,9063261
168143,R251,R144,00-00-01,96 ST,6,IRT,06/27/2020,09:00:00,REGULAR,24544127,9063302
168144,R251,R144,00-00-01,96 ST,6,IRT,06/27/2020,13:00:00,REGULAR,24544177,9063341
168145,R251,R144,00-00-01,96 ST,6,IRT,06/27/2020,17:00:00,REGULAR,24544259,9063394
168146,R251,R144,00-00-01,96 ST,6,IRT,06/27/2020,21:00:00,REGULAR,24544307,9063433
168147,R251,R144,00-00-01,96 ST,6,IRT,06/28/2020,01:00:00,REGULAR,24544333,9063459
168184,R251,R144,00-00-02,96 ST,6,IRT,06/27/2020,05:00:00,REGULAR,17856054,4554382
168185,R251,R144,00-00-02,96 ST,6,IRT,06/27/2020,09:00:00,REGULAR,17856071,4554403
168186,R251,R144,00-00-02,96 ST,6,IRT,06/27/2020,13:00:00,REGULAR,17856088,4554415
168187,R251,R144,00-00-02,96 ST,6,IRT,06/27/2020,17:00:00,REGULAR,17856144,4554438
168188,R251,R144,00-00-02,96 ST,6,IRT,06/27/2020,21:00:00,REGULAR,17856174,4554457
168189,R251,R144,00-00-02,96 ST,6,IRT,06/28/2020,01:00:00,REGULAR,17856206,4554465
168226,R251,R144,00-03-00,96 ST,6,IRT,06/27/2020,05:00:00,REGULAR,19535441,3673397
168227,R251,R144,00-03-00,96 ST,6,IRT,06/27/2020,09:00:00,REGULAR,19535465,3673420
168228,R251,R144,00-03-00,96 ST,6,IRT,06/27/2020,13:00:00,REGULAR,19535485,3673436
168229,R251,R144,00-03-00,96 ST,6,IRT,06/27/2020,17:00:00,REGULAR,19535540,3673447
168230,R251,R144,00-03-00,96 ST,6,IRT,06/27/2020,21:00:00,REGULAR,19535579,3673462
168231,R251,R144,00-03-00,96 ST,6,IRT,06/28/2020,01:00:00,REGULAR,19535598,3673474
168268,R251,R144,00-03-01,96 ST,6,IRT,06/27/2020,05:00:00,REGULAR,3956726,590373
168269,R251,R144,00-03-01,96 ST,6,IRT,06/27/2020,09:00:00,REGULAR,3956757,590401
168270,R251,R144,00-03-01,96 ST,6,IRT,06/27/2020,13:00:00,REGULAR,3956789,590421
168271,R251,R144,00-03-01,96 ST,6,IRT,06/27/2020,17:00:00,REGULAR,3956871,590442
168272,R251,R144,00-03-01,96 ST,6,IRT,06/27/2020,21:00:00,REGULAR,3956929,590457
