,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
144892,R169,R168,01-00-01,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,1710976,1052374
144893,R169,R168,01-00-01,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,1711051,1052421
144894,R169,R168,01-00-01,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,1711119,1052473
144930,R169,R168,01-00-02,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,636557,469886
144931,R169,R168,01-00-02,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,636557,469890
144932,R169,R168,01-00-02,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,636571,469915
144933,R169,R168,01-00-02,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,636610,469947
144934,R169,R168,01-00-02,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,636677,469997
144935,R169,R168,01-00-02,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,636735,470043
144972,R169,R168,01-00-03,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,3293185,3596497
144973,R169,R168,01-00-03,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,3293185,3596499
144974,R169,R168,01-00-03,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,3293198,3596540
144975,R169,R168,01-00-03,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,3293224,3596579
144976,R169,R168,01-00-03,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,3293275,3596631
144977,R169,R168,01-00-03,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,3293317,3596696
145014,R169,R168,01-00-04,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,831403,1527311
145015,R169,R168,01-00-04,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,831403,1527313
145016,R169,R168,01-00-04,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,831416,1527384
145017,R169,R168,01-00-04,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,831435,1527455
145018,R169,R168,01-00-04,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,831487,1527541
145019,R169,R168,01-00-04,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,831532,1527652
145056,R169,R168,01-00-05,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,1080335,2270278
145057,R169,R168,01-00-05,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,1080335,2270283
145058,R169,R168,01-00-05,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,1080345,2270419
145059,R169,R168,01-00-05,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,1080377,2270533
145060,R169,R168,01-00-05,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,1080436,2270678
145061,R169,R168,01-00-05,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,1080487,2270835
145098,R169,R168,01-03-00,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,4085117,21318424
145099,R169,R168,01-03-00,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,4085120,21318439
145100,R169,R168,01-03-00,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,4085131,21318755
