,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
144755,R169,R168,01-00-02,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,629219,464336
144756,R169,R168,01-00-02,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,629276,464362
144757,R169,R168,01-00-02,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,629313,464380
144758,R169,R168,01-00-02,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,629323,464387
144795,R169,R168,01-00-03,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,3287372,3589282
144796,R169,R168,01-00-03,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,3287386,3589323
144797,R169,R168,01-00-03,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,3287410,3589353
144798,R169,R168,01-00-03,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,3287453,3589402
144799,R169,R168,01-00-03,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,3287493,3589431
144800,R169,R168,01-00-03,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,3287510,3589445
144837,R169,R168,01-00-04,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,825725,1515563
144838,R169,R168,01-00-04,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,825747,1515633
144839,R169,R168,01-00-04,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,825770,1515691
144840,R169,R168,01-00-04,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,825818,1515750
144841,R169,R168,01-00-04,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,825857,1515790
144842,R169,R168,01-00-04,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,825870,1515808
144879,R169,R168,01-00-05,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,1073564,2250764
144880,R169,R168,01-00-05,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,1073586,2250848
144881,R169,R168,01-00-05,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,1073612,2250941
144882,R169,R168,01-00-05,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,1073669,2251057
144883,R169,R168,01-00-05,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,1073703,2251147
144884,R169,R168,01-00-05,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,1073725,2251181
144921,R169,R168,01-03-00,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,4072404,21261131
144922,R169,R168,01-03-00,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,4072429,21261444
144923,R169,R168,01-03-00,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,4072468,21261677
144924,R169,R168,01-03-00,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,4072568,21261995
144925,R169,R168,01-03-00,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,4072650,21262258
144926,R169,R168,01-03-00,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,4072688,21262354
144963,R169,R168,01-03-01,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,1600160,3973078
144964,R169,R168,01-03-01,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,1600215,3973250
144965,R169,R168,01-03-01,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,1600291,3973390
144966,R169,R168,01-03-01,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,1600423,3973547
144967,R169,R168,01-03-01,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,1600519,3973691
144968,R169,R168,01-03-01,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,1600569,3973749
145005,R169,R168,01-03-02,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,9440973,9052187
145006,R169,R168,01-03-02,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,9441036,9052313
145007,R169,R168,01-03-02,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,9441111,9052412
145008,R169,R168,01-03-02,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,9441330,9052535
145009,R169,R168,01-03-02,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,9441470,9052608
145010,R169,R168,01-03-02,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,9441518,9052647
145047,R169,R168,01-03-03,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,10860191,4327464
145048,R169,R168,01-03-03,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,10860277,4327603
145049,R169,R168,01-03-03,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,10860384,4327705
145050,R169,R168,01-03-03,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,10860608,4327805
145051,R169,R168,01-03-03,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,10860771,4327883
145052,R169,R168,01-03-03,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,10860816,4327932
145089,R169,R168,01-03-04,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,2363592,579173
145090,R169,R168,01-03-04,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,2363704,579326
145091,R169,R168,01-03-04,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,2363837,579424
145092,R169,R168,01-03-04,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,2364055,579536
145093,R169,R168,01-03-04,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,2364208,579605
145094,R169,R168,01-03-04,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,2364276,579635
145131,R169,R168,01-03-05,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,22818320,14770896
145132,R169,R168,01-03-05,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,22818438,14771040
145133,R169,R168,01-03-05,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,22818552,14771134
145134,R169,R168,01-03-05,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,22818727,14771233
145135,R169,R168,01-03-05,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,22818839,14771293
145136,R169,R168,01-03-05,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,22818869,14771324
145173,R169,R168,01-05-00,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,4186,0
145174,R169,R168,01-05-00,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,4186,0
145175,R169,R168,01-05-00,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,4186,0
145176,R169,R168,01-05-00,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,4186,0
145177,R169,R168,01-05-00,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,4186,0
145178,R169,R168,01-05-00,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,4186,0
145215,R169,R168,01-05-01,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,0,1641
145216,R169,R168,01-05-01,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,0,1641
145217,R169,R168,01-05-01,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,0,1641
145218,R169,R168,01-05-01,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,0,1641
145219,R169,R168,01-05-01,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,0,1642
145220,R169,R168,01-05-01,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,0,1642
145257,R169,R168,01-07-00,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,67110862,16777216
145258,R169,R168,01-07-00,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,67110862,16777216
145259,R169,R168,01-07-00,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,67110862,16777216
145260,R169,R168,01-07-00,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,67110863,16777216
145261,R169,R168,01-07-00,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,67110863,16777216
145262,R169,R168,01-07-00,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,67110863,16777216
145299,R169,R168,01-07-01,96 ST,123,IRT,06/22/2020,05:00:00,REGULAR,131072,66550
145300,R169,R168,01-07-01,96 ST,123,IRT,06/22/2020,09:00:00,REGULAR,131072,66550
145301,R169,R168,01-07-01,96 ST,123,IRT,06/22/2020,13:00:00,REGULAR,131072,66550
145302,R169,R168,01-07-01,96 ST,123,IRT,06/22/2020,17:00:00,REGULAR,131072,66550
145303,R169,R168,01-07-01,96 ST,123,IRT,06/22/2020,21:00:00,REGULAR,131072,66550
145304,R169,R168,01-07-01,96 ST,123,IRT,06/23/2020,01:00:00,REGULAR,131072,66550
166189,R251,R144,00-00-00,96 ST,6,IRT,06/22/2020,05:00:00,REGULAR,23869523,15667518
166190,R251,R144,00-00-00,96 ST,6,IRT,06/22/2020,09:00:00,REGULAR,23869606,15667874
166191,R251,R144,00-00-00,96 ST,6,IRT,06/22/2020,13:00:00,REGULAR,23869726,15668145
166192,R251,R144,00-00-00,96 ST,6,IRT,06/22/2020,17:00:00,REGULAR,23870001,15668318
166193,R251,R144,00-00-00,96 ST,6,IRT,06/22/2020,21:00:00,REGULAR,23870177,15668448
